time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,1517.99,1531.33,1517.23,1528.77,149942,0,0
2020-01-03,1526.63,1553.51,1526.63,1551.44,222189,0,0
2020-01-06,1559.72,1587.86,1559.66,1565.63,258234,0,0
2020-01-07,1564.58,1577.32,1555.23,1573.24,225940,0,0
2020-01-08,1576.31,1611.35,1552.22,1556.36,324560,0,0
2020-01-09,1556.67,1561.31,1540.2,1552.08,215216,0,0
2020-01-10,1552.38,1563.13,1545.7,1561.76,187600,0,0
2020-01-13,1561.83,1561.83,1546.51,1548.34,170657,0,0
2020-01-14,1548.08,1548.9,1535.94,1546.25,203836,0,0
2020-01-15,1546.21,1558.17,1545.92,1556.22,185588,0,0
2020-01-16,1556.26,1558.08,1547.98,1552.46,159523,0,0
2020-01-17,1552.37,1561.21,1549.33,1556.83,159222,0,0
2020-01-20,1557.76,1562.76,1556.31,1560.5,87304,0,0
2020-01-21,1560.81,1568.59,1546.3,1557.91,205465,0,0
2020-01-22,1558.54,1559.22,1550.15,1558.6,169185,0,0
2020-01-23,1558.53,1567.91,1551.85,1562.8,191812,0,0
2020-01-24,1562.4,1575.95,1556.49,1570.9,176367,0,0
2020-01-27,1580.93,1588.54,1575.85,1581.88,231156,0,0
2020-01-28,1581.17,1583.03,1565.44,1567.78,187791,0,0
2020-01-29,1566.81,1578.0,1563.35,1577.11,159846,0,0
2020-01-30,1576.86,1585.99,1572.22,1573.85,219091,0,0
2020-01-31,1573.43,1590.48,1570.87,1588.83,216354,0,0
2020-02-03,1593.68,1593.76,1569.28,1576.3,216340,0,0
2020-02-04,1577.07,1579.61,1548.97,1552.74,201603,0,0
2020-02-05,1552.76,1562.41,1547.38,1556.41,216563,0,0
2020-02-06,1556.02,1568.24,1552.46,1566.46,191902,0,0
2020-02-07,1566.53,1574.05,1560.08,1570.0,223663,0,0
2020-02-10,1571.65,1577.01,1567.96,1571.87,191509,0,0
2020-02-11,1571.53,1574.05,1561.92,1567.63,188784,0,0
2020-02-12,1567.71,1570.46,1561.92,1565.73,175844,0,0
